,date,listed_price,price_trend,day_of_week,month,week_of_year,ma_7,ma_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,rolling_mean_3
count,616,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0
mean,2025-04-04 12:00:00,123097.65909090909,-0.027597402597402596,3.0,7.064935064935065,28.733766233766232,123191.99814724027,123309.78455405844,1545.0062912277713,-223.91233766233765,123130.11038961039,123160.93831168831,123191.76623376623,123321.57142857143,123564.67207792208,11.71707102948052,123129.56926406924
min,2024-06-01 00:00:00,99990.0,-1.0,0.0,1.0,1.0,101523.1429,101694.9286,0.0,-26210.0,99990.0,99990.0,99990.0,99990.0,99990.0,11.51283546,101444.0
25%,2024-11-01 18:00:00,117990.0,0.0,1.0,4.0,17.0,117847.1429,118323.3036,0.0,-1000.0,117997.5,117997.5,117997.5,118150.0,119355.0,11.67836363,117990.0
50%,2025-04-04 12:00:00,119990.0,0.0,3.0,7.0,30.5,120635.0,121362.5,692.9195149,0.0,119990.0,119990.0,119990.0,119990.0,119990.0,11.69517202,119990.0
75%,2025-09-05 06:00:00,133990.0,0.0,5.0,10.0,41.25,133990.0,133619.6429,1961.577872,120.0,133990.0,133990.0,133990.0,133990.0,133990.0,11.80552791,133990.0
max,2026-02-06 00:00:00,157945.0,1.0,6.0,12.0,52.0,138632.8571,137490.0,11325.32035,26210.0,157945.0,157945.0,157945.0,157945.0,157945.0,11.97000848,142847.66666666666
std,,10411.362807197922,0.44635988279509653,2.0016253558147814,3.468652323145981,15.173808074556494,10122.53274441777,10022.668228319251,2333.153159267094,4988.176460597491,10423.47252832615,10436.349275072693,10449.11905481449,10495.221418926236,10570.701509957486,0.0863907206404649,10229.933180910335
