,date,listed_price,price_trend,day_of_week,month,week_of_year,ma_7,ma_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,rolling_mean_3
count,776,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0
mean,2025-01-24 12:00:00,56226.06056701031,-0.2706185567010309,3.002577319587629,6.220360824742268,25.121134020618555,56283.769514033505,56346.205725567015,985.6981438231675,-131.21907216494844,56246.03479381443,56265.58505154639,56285.114690721646,56357.279639175256,56475.83634020619,10.93387162923969,56245.89347079037
min,2024-01-03 00:00:00,44499.0,-1.0,0.0,1.0,1.0,45452.42857,46154.28571,0.0,-15324.0,44828.0,44844.0,45999.0,45999.0,45999.0,10.70324447,44723.666666666664
25%,2024-07-14 18:00:00,51998.0,-1.0,1.0,3.0,11.0,53014.249997499996,53378.392855,18.95951036,-1000.0,51998.0,51998.0,51998.75,51999.0,52395.0,10.85897977,52428.75
50%,2025-01-24 12:00:00,56440.0,0.0,3.0,6.0,25.0,56646.214284999995,56755.464285,532.5327327499999,0.0,56442.5,56460.0,56482.5,56527.0,56698.5,10.94095112,56596.66666666667
75%,2025-08-06 06:00:00,58499.0,0.0,5.0,9.0,39.0,58412.28571,58171.64286,1394.1293727500001,282.5,58499.0,58499.0,58499.0,58557.5,58880.75,10.97678203,58473.5
max,2026-02-16 00:00:00,64999.0,1.0,6.0,12.0,52.0,64999.0,64998.14286,7000.769951,14090.0,64999.0,64999.0,64999.0,64999.0,64999.0,11.08214255,64999.0
std,,4537.2903322255615,0.7194712243727096,2.001288244900084,3.5631298852715054,15.51484672518186,4233.405735869232,4114.287538984319,1278.0806527465572,2654.387454217404,4519.681587423062,4503.009160534061,4486.242155141762,4432.409908888246,4351.4949556060365,0.08131125430332699,4357.694246920092
